Subcluster_id,Q-score
53,1.3141845004349708
269,1.2254590087318016
25,1.1968051649640452
321,1.168897000451329
104,1.1660012468862044
11,1.156288881259529
68,1.1504774357548355
105,1.1488935697389844
242,1.1410148495147792
89,1.1263354385961288
392,1.1206637089367377
167,1.1158734346643704
10,1.110856341159131
238,1.0519527359085359
202,1.0356511623172915
44,1.0303424456454118
294,1.0271463296369827
51,1.013246917202511
143,1.0055854492363596
20,1.0055582551239615
183,1.0011370820245062
226,0.9953014733670759
205,0.9918259414867522
377,0.9901040044342175
393,0.9561546183916165
213,0.9514512947004798
111,0.9417019753781544
288,0.9317817178646558
36,0.9272461476377235
174,0.9244806060242488
9,0.9170247965752886
245,0.8993112082061037
344,0.8954354954288662
94,0.8879546538951862
334,0.8785440754323499
366,0.8757626050061049
256,0.8718882707078524
113,0.8688928439516443
255,0.8657653884708814
3,0.8598745064863524
62,0.8476277946598041
383,0.8444604716627264
38,0.8375851132681064
6,0.8284017206334994
122,0.8265347757569872
299,0.8135982481333255
27,0.8115837913408619
29,0.7979700862976236
1,0.7903788402208669
22,0.7826322946827544
155,0.7786197023939153
95,0.7761404000810983
285,0.7733631280814786
137,0.7708356427622188
191,0.7563768227887304
55,0.7545277392448855
61,0.7528654642480128
131,0.7512953561596301
59,0.74949029391425
203,0.7449113205415587
336,0.7345666583422359
41,0.7327280363349081
355,0.7327041740898267
152,0.732024948880742
164,0.7300636793958857
134,0.7293517949410053
184,0.7279971996549148
157,0.7264537302459491
97,0.725773649308965
265,0.7047706745721047
182,0.7011411851237532
26,0.7003430031346707
56,0.6890246249022187
246,0.6851103479663398
222,0.6822566700197354
14,0.6812733247453642
243,0.680938772847461
63,0.6745065198605449
2,0.6744540449055216
273,0.6731910844031177
5,0.6719394492582953
117,0.6675384540709483
323,0.6654824908350752
153,0.656447259349811
175,0.6543552044182261
31,0.6517387083943981
311,0.6511957183567206
43,0.6422239021781766
177,0.6407384553420346
216,0.6397659694060651
45,0.6370547575764224
73,0.6295882577537188
220,0.6219505139991011
77,0.6209191182415851
262,0.6204888680944515
197,0.6138925724581736
230,0.6089921695823262
39,0.6084860879335611
21,0.6024259443052342
99,0.598282542643625
249,0.5936473580233423
13,0.5935238693839286
93,0.5934342525119506
198,0.5925355158412864
307,0.5922195562331869
19,0.5870973115234827
57,0.5848297784685581
66,0.5819209630861066
248,0.5813820013621297
116,0.5749915347107433
84,0.5731944038235002
34,0.5708792752051219
121,0.570662151219139
150,0.5687653332494442
18,0.5630697061605273
32,0.5617645108383122
239,0.561234639193657
16,0.5590841555779955
165,0.5578561259227931
169,0.5538015954876406
48,0.5525051220232535
233,0.5517790300262039
339,0.54617281667582
91,0.5457118353939556
0,0.5452049191936018
399,0.544716469796243
295,0.5408180628359509
313,0.5375919207071334
223,0.536843716124612
264,0.5336892343972754
405,0.5189850515520209
178,0.5172847407056217
400,0.51572322087114
83,0.5115809209323684
90,0.5113340003727747
352,0.5061305404321833
130,0.5025144853440947
266,0.4978371387345396
301,0.49760695289181694
114,0.4910872982890499
240,0.49016109957386517
161,0.4886113978267666
87,0.4858886119651237
72,0.48510943041582677
204,0.48415077988215754
176,0.4753188470959506
141,0.4749229337204929
331,0.47342486507650805
281,0.47323374291895687
171,0.47235372941229303
140,0.4719315771851402
4,0.47184021208270466
397,0.46747160066592547
37,0.46721146224316223
325,0.46393524604309616
50,0.46301987478586204
108,0.45602010648786895
186,0.4549700889963897
369,0.4446173156509925
268,0.441873670942134
214,0.440979340246332
341,0.43854841613153794
189,0.4322474882243259
179,0.4276779931651955
330,0.4268590593419639
306,0.41816654664811864
60,0.41449564061571653
322,0.40920866098856873
106,0.4055519397890386
23,0.4009794945714209
340,0.4007929600623016
312,0.39722637693366425
70,0.3964505887732504
353,0.39518347871472315
127,0.39344851037556683
132,0.3933366962378019
244,0.3901753629380383
